2021-05-29 12:35:06,783 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:35:06,791 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:35:06,792 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
2021-05-29 12:38:19,858 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:38:19,863 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:38:19,865 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:38:19,865 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
2021-05-29 12:38:23,310 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2021-05-29 12:38:24,480 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: in.co.rays:Project03:0.0.1-SNAPSHOT @ C:\Users\hp\Desktop\project03 new\Project03\pom.xml.
2021-05-29 12:38:26,174 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project03/src/main/java
2021-05-29 12:38:26,175 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Project03/src/main/resources
2021-05-29 12:38:26,175 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project03/src/test/java
2021-05-29 12:38:27,853 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Project03
2021-05-29 12:38:27,863 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2021-05-29 12:38:31,344 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:38:31,350 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:38:31,363 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:38:31,364 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
2021-05-29 12:38:31,364 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Project03
2021-05-29 12:38:31,375 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Project03
2021-05-29 12:38:31,386 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:45:46,661 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:45:46,687 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:45:46,689 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:45:46,730 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
2021-05-29 12:46:20,279 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:46:20,282 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-05-29 12:46:20,284 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:46:20,356 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
2021-05-29 12:48:43,191 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:48:43,193 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-05-29 12:48:43,194 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-05-29 12:48:43,216 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\hp\Desktop\project03 new\Project03\src\test\resources
